id,photographer,width,height,url,original
5088181,olia danilevich,4000,6000,https://www.pexels.com/photo/little-girl-writing-on-a-notebook-5088181/,https://images.pexels.com/photos/5088181/pexels-photo-5088181.jpeg
5303516,Tima Miroshnichenko,6000,4000,https://www.pexels.com/photo/a-child-doing-his-homework-5303516/,https://images.pexels.com/photos/5303516/pexels-photo-5303516.jpeg
5303553,Tima Miroshnichenko,6000,4000,https://www.pexels.com/photo/a-kid-reading-a-book-5303553/,https://images.pexels.com/photos/5303553/pexels-photo-5303553.jpeg
4260481,August de Richelieu,4888,7324,https://www.pexels.com/photo/little-girl-doing-her-homework-4260481/,https://images.pexels.com/photos/4260481/pexels-photo-4260481.jpeg
5303501,Tima Miroshnichenko,6000,4000,https://www.pexels.com/photo/a-kid-writing-on-a-notebook-5303501/,https://images.pexels.com/photos/5303501/pexels-photo-5303501.jpeg
4260321,August de Richelieu,7360,4912,https://www.pexels.com/photo/little-girl-doing-her-homework-4260321/,https://images.pexels.com/photos/4260321/pexels-photo-4260321.jpeg
4145035,Julia M Cameron,4912,7360,https://www.pexels.com/photo/a-boy-studying-using-an-ipad-4145035/,https://images.pexels.com/photos/4145035/pexels-photo-4145035.jpeg
5088179,olia danilevich,6000,4000,https://www.pexels.com/photo/little-girl-doing-her-homework-5088179/,https://images.pexels.com/photos/5088179/pexels-photo-5088179.jpeg
4865547,Andrea Piacquadio,7280,4770,https://www.pexels.com/photo/girl-with-a-flower-on-her-hair-doing-her-homework-4865547/,https://images.pexels.com/photos/4865547/pexels-photo-4865547.jpeg
10109025,Hafed  Ali,3456,5184,https://www.pexels.com/photo/school-education-pupil-school-materials-10109025/,https://images.pexels.com/photos/10109025/pexels-photo-10109025.jpeg
5303507,Tima Miroshnichenko,4000,6000,https://www.pexels.com/photo/a-child-doing-his-homework-5303507/,https://images.pexels.com/photos/5303507/pexels-photo-5303507.jpeg
29814270,Suki Lee,4739,7108,https://www.pexels.com/photo/young-boy-studying-late-night-at-desk-29814270/,https://images.pexels.com/photos/29814270/pexels-photo-29814270.jpeg
6990429,Artem Podrez,2122,3772,https://www.pexels.com/photo/a-girl-drawing-on-paper-6990429/,https://images.pexels.com/photos/6990429/pexels-photo-6990429.jpeg
5303499,Tima Miroshnichenko,6000,4000,https://www.pexels.com/photo/a-boy-studying-online-5303499/,https://images.pexels.com/photos/5303499/pexels-photo-5303499.jpeg
8054852,Annushka  Ahuja,4000,6000,https://www.pexels.com/photo/a-girl-writing-on-the-book-8054852/,https://images.pexels.com/photos/8054852/pexels-photo-8054852.jpeg
5303512,Tima Miroshnichenko,6000,4000,https://www.pexels.com/photo/a-kid-looking-at-a-tablet-while-studying-5303512/,https://images.pexels.com/photos/5303512/pexels-photo-5303512.jpeg
8926552,Thirdman,6720,4480,https://www.pexels.com/photo/two-boys-studying-inside-the-classroom-8926552/,https://images.pexels.com/photos/8926552/pexels-photo-8926552.jpeg
3768122,Andrea Piacquadio,3800,3135,https://www.pexels.com/photo/girl-in-blue-long-sleeve-shirt-reading-book-3768122/,https://images.pexels.com/photos/3768122/pexels-photo-3768122.jpeg
5303545,Tima Miroshnichenko,2970,4455,https://www.pexels.com/photo/boy-in-white-long-sleeve-shirt-resting-head-on-wooden-table-5303545/,https://images.pexels.com/photos/5303545/pexels-photo-5303545.jpeg
7692464,www.kaboompics.com,6720,4480,https://www.pexels.com/photo/boy-in-blue-dress-shirt-using-a-green-calculator-7692464/,https://images.pexels.com/photos/7692464/pexels-photo-7692464.jpeg
4260637,August de Richelieu,4881,7314,https://www.pexels.com/photo/little-girl-doing-her-homework-4260637/,https://images.pexels.com/photos/4260637/pexels-photo-4260637.jpeg
5303518,Tima Miroshnichenko,3815,5723,https://www.pexels.com/photo/a-kid-doing-homework-5303518/,https://images.pexels.com/photos/5303518/pexels-photo-5303518.jpeg
8055128,Annushka  Ahuja,6000,4000,https://www.pexels.com/photo/young-girl-studying-at-a-table-8055128/,https://images.pexels.com/photos/8055128/pexels-photo-8055128.jpeg
5303541,Tima Miroshnichenko,6000,4000,https://www.pexels.com/photo/a-boy-reading-a-book-5303541/,https://images.pexels.com/photos/5303541/pexels-photo-5303541.jpeg
8653444,Mikhail Nilov,5304,7952,https://www.pexels.com/photo/a-girl-in-white-dress-sitting-on-a-chair-8653444/,https://images.pexels.com/photos/8653444/pexels-photo-8653444.jpeg
4143794,Julia M Cameron,4800,3203,https://www.pexels.com/photo/photo-of-girl-writing-on-white-paper-4143794/,https://images.pexels.com/photos/4143794/pexels-photo-4143794.jpeg
5303513,Tima Miroshnichenko,5751,3834,https://www.pexels.com/photo/a-kid-doing-his-homework-5303513/,https://images.pexels.com/photos/5303513/pexels-photo-5303513.jpeg
5303586,Tima Miroshnichenko,4000,6000,https://www.pexels.com/photo/a-boy-in-an-online-class-5303586/,https://images.pexels.com/photos/5303586/pexels-photo-5303586.jpeg
8342190,Mikhail Nilov,3740,5602,https://www.pexels.com/photo/boy-sitting-on-a-chair-reading-a-book-8342190/,https://images.pexels.com/photos/8342190/pexels-photo-8342190.jpeg
8055090,Annushka  Ahuja,4000,6000,https://www.pexels.com/photo/a-girl-doing-her-homework-on-a-coffee-table-8055090/,https://images.pexels.com/photos/8055090/pexels-photo-8055090.jpeg
5303515,Tima Miroshnichenko,6000,4000,https://www.pexels.com/photo/a-kid-studying-online-5303515/,https://images.pexels.com/photos/5303515/pexels-photo-5303515.jpeg
6936013,RDNE Stock project,6720,4480,https://www.pexels.com/photo/boy-studying-and-reading-his-book-6936013/,https://images.pexels.com/photos/6936013/pexels-photo-6936013.jpeg
5303550,Tima Miroshnichenko,6000,4000,https://www.pexels.com/photo/a-boy-reading-a-book-5303550/,https://images.pexels.com/photos/5303550/pexels-photo-5303550.jpeg
31155018,This And No Internet 25,4000,1848,https://www.pexels.com/photo/students-focused-on-school-test-in-classroom-31155018/,https://images.pexels.com/photos/31155018/pexels-photo-31155018.jpeg
5934556,Gustavo Fring,5760,3840,https://www.pexels.com/photo/a-girl-studying-at-the-desk-5934556/,https://images.pexels.com/photos/5934556/pexels-photo-5934556.jpeg
5303511,Tima Miroshnichenko,4000,6000,https://www.pexels.com/photo/a-kid-studying-online-5303511/,https://images.pexels.com/photos/5303511/pexels-photo-5303511.jpeg
